Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	1KM	25-JUN-05 12:31:32PM	User Waypoint	N44.97836 W93.13802	922 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	1MILE	25-JUN-05 12:43:56PM	User Waypoint	N44.97580 W93.13936	910 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	2KM	25-JUN-05 12:48:53PM	User Waypoint	N44.97807 W93.14290	915 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	2MILE	25-JUN-05 12:26:20PM	User Waypoint	N44.98167 W93.13930	923 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	3KM	25-JUN-05 12:22:55PM	User Waypoint	N44.98343 W93.14021	928 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	3MILE	25-JUN-05 12:51:50PM	User Waypoint	N44.97991 W93.14370	916 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	4KM	25-JUN-05 12:39:44PM	User Waypoint	N44.97619 W93.13671	915 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	FINISH	25-JUN-05 12:54:23PM	User Waypoint	N44.98129 W93.14360	932 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	START	25-JUN-05 12:15:49PM	User Waypoint	N44.98308 W93.14320	941 ft				Symbol & Name	Unknown	Flag, Blue							


Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	COMO LAKE 5km		0:00:00	1.9 mi	0 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N44.98309 W93.14320		948 ft
Trackpoint	N44.98309 W93.14320		948 ft		1 ft			226° true
Trackpoint	N44.98308 W93.14321		925 ft		2 ft			219° true
Trackpoint	N44.98308 W93.14321		940 ft		1 ft			220° true
Trackpoint	N44.98308 W93.14321		923 ft		1 ft			215° true
Trackpoint	N44.98308 W93.14321		940 ft		1 ft			217° true
Trackpoint	N44.98308 W93.14321		914 ft		2 ft			215° true
Trackpoint	N44.98307 W93.14321		942 ft		0 ft			199° true
Trackpoint	N44.98307 W93.14322		920 ft		0 ft			187° true
Trackpoint	N44.98307 W93.14321		931 ft		0 ft			161° true
Trackpoint	N44.98307 W93.14321		914 ft		0 ft			125° true
Trackpoint	N44.98307 W93.14321		926 ft		0 ft			145° true
Trackpoint	N44.98307 W93.14321		942 ft		0 ft			145° true
Trackpoint	N44.98307 W93.14321		918 ft		0 ft			119° true
Trackpoint	N44.98307 W93.14321		940 ft		0 ft			120° true
Trackpoint	N44.98307 W93.14321		928 ft		0 ft			106° true
Trackpoint	N44.98307 W93.14321		951 ft		0 ft			90° true
Trackpoint	N44.98307 W93.14321		934 ft		0 ft			65° true
Trackpoint	N44.98307 W93.14321		925 ft		0 ft			43° true
Trackpoint	N44.98307 W93.14321		950 ft		0 ft			35° true
Trackpoint	N44.98307 W93.14321		943 ft		0 ft			35° true
Trackpoint	N44.98307 W93.14321		920 ft		0 ft			53° true
Trackpoint	N44.98307 W93.14321		925 ft		0 ft			65° true
Trackpoint	N44.98307 W93.14321		943 ft		0 ft			59° true
Trackpoint	N44.98307 W93.14321		932 ft		0 ft			43° true
Trackpoint	N44.98307 W93.14321		943 ft		0 ft			40° true
